選択,基準日,方向,銘柄,エントリー時刻,クローズ時刻,保有時間,開始時,跨ぎフラグ,勝率_30日,勝率_90日,勝率_365日,勝率_平均,勝率重視ポイント,利益効率ポイント,時間効率ポイント,最大利益ポイント,勝率重視ポイントUS,利益効率ポイントUS,時間効率ポイントUS,最大利益ポイントUS,合計変動pips_30日,合計変動pips_90日,合計変動pips_365日,合計変動pips_平均,勝率重視スコア,利益効率スコア,時間効率スコア,最大利益スコア,変動値σ_pips_30日,変動値σ_pips_90日,変動値σ_pips_365日,変動値σ_pips_平均,平均スプレッドpips_30日,平均スプレッドpips_90日,平均スプレッドpips_365日,平均スプレッドpips_平均
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:27:00,27,0,0,68.18%,63.08%,54.05%,61.77%,,,,,,,,,7.4,119.0,127.5,84.6,79.79,12.02,4.36,16.74,8.22,12.61,10.93,10.59,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURJPY,0:00:00,0:23:00,23,0,0,72.73%,61.54%,49.42%,61.23%,,,,,,,,,65.6,-30.2,-12.9,7.5,79.09,6.66,3.23,10.58,9.88,15.98,17.25,14.37,0.4,0.4,0.6,0.5
FALSE,2025-06-22,Short,AUDJPY,0:00:00,0:09:00,9,0,0,68.18%,56.92%,55.21%,60.11%,,,,,,,,,-8.1,-50.0,-71.4,-43.2,77.64,-10.12,-8.78,-11.24,4.18,8.00,9.75,7.31,0.5,0.5,0.6,0.6
FALSE,2025-06-22,Long,GBPAUD,0:00:00,0:29:00,29,0,0,68.18%,58.46%,53.67%,60.10%,,,,,,,,,62.5,345.0,420.5,276.0,77.64,27.8,8.14,33.56,7.69,26.91,19.06,17.89,1.5,1.5,1.7,1.6
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:24:00,24,0,0,63.64%,63.08%,53.28%,60.00%,,,,,,,,,21.5,151.1,209.4,127.3,77.5,20.07,7.59,25.9,8.28,11.69,9.94,9.97,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:18:00,18,0,0,68.18%,60.00%,51.74%,59.97%,,,,,,,,,36.4,155.8,165.6,119.3,77.47,24.55,11.53,29.5,7.73,9.50,8.60,8.61,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:15:00,15,0,0,68.18%,60.00%,50.97%,59.72%,,,,,,,,,31.3,90.9,134.1,85.4,77.13,20.64,9.84,20.97,5.82,8.39,7.82,7.35,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:17:00,17,0,0,68.18%,60.00%,50.58%,59.59%,,,,,,,,,32.3,134.8,158.6,108.6,76.97,22.95,10.81,26.12,6.83,9.36,8.48,8.22,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:25:00,25,0,0,63.64%,61.54%,53.28%,59.49%,,,,,,,,,12.2,140.7,152.7,101.9,76.84,15.27,5.85,20.79,8.63,11.88,10.70,10.40,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:28:00,28,0,0,63.64%,60.00%,54.05%,59.23%,,,,,,,,,1.4,101.9,129.5,77.6,76.51,10.22,3.39,13.48,8.23,12.67,10.92,10.61,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:22:00,22,0,0,59.09%,63.08%,54.83%,59.00%,,,,,,,,,27.5,189.6,263.5,160.2,76.21,28.48,10.47,32.73,7.25,10.17,9.19,8.87,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURUSD,0:00:00,0:23:00,23,0,0,63.64%,61.54%,51.74%,58.97%,,,,,,,,,21.6,154.8,199.4,125.3,76.17,21.39,7.98,26.1,7.89,10.77,9.40,9.35,0.3,0.3,0.4,0.3
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:17:00,16,0,0,77.27%,60.00%,53.28%,63.52%,,,,,,,,,74.3,67.0,101.5,80.9,82.05,18,9.18,20.87,7.79,14.21,14.46,12.15,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:22:00,21,0,0,77.27%,61.54%,51.74%,63.52%,,,,,,,,,81.5,5.1,114.9,67.2,82.04,13.92,6.08,18.16,9.17,14.51,16.07,13.25,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:20:00,19,0,0,72.73%,61.54%,52.51%,62.26%,,,,,,,,,76.4,23.9,213.9,104.7,80.42,20.14,7.48,20.21,6.99,13.84,15.15,11.99,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:23:00,22,0,0,77.27%,60.00%,49.42%,62.23%,,,,,,,,,92.7,4.8,47.0,48.2,80.38,14.49,6.14,19.22,8.74,15.02,16.29,13.35,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:01:00,0:16:00,15,0,0,72.73%,60.00%,52.51%,61.75%,,,,,,,,,23.4,53.1,73.6,50.0,79.76,12.33,6.31,13.45,6.36,8.49,7.65,7.50,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,CHFJPY,0:01:00,0:13:00,12,0,0,72.73%,56.92%,54.44%,61.36%,,,,,,,,,49.4,-80.2,-38.6,-23.1,79.26,2.26,1.88,3.21,7.13,11.65,11.38,10.05,0.8,0.9,0.9,0.9
FALSE,2025-06-22,Short,EURUSD,0:01:00,0:23:00,22,0,0,68.18%,61.54%,53.67%,61.13%,,,,,,,,,18.0,115.8,162.1,98.6,78.96,16.91,6.49,20.28,7.54,10.92,9.10,9.18,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:01:00,0:27:00,26,0,0,68.18%,61.54%,52.51%,60.74%,,,,,,,,,3.8,80.0,90.2,58.0,78.46,7.85,2.96,10.92,7.96,12.97,10.78,10.57,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:24:00,23,0,0,72.73%,58.46%,50.58%,60.59%,,,,,,,,,100.3,-3.3,19.5,38.8,78.26,13.91,6.02,19.68,9.15,15.54,16.82,13.84,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:01:00,0:15:00,14,0,0,72.73%,55.38%,52.51%,60.21%,,,,,,,,,48.6,11.7,24.4,28.2,77.77,10.27,5.38,10.7,6.75,13.01,13.82,11.19,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Long,GBPAUD,0:01:00,0:28:00,27,0,0,68.18%,56.92%,54.44%,59.85%,,,,,,,,,49.1,294.2,433.5,258.9,77.31,25.05,7.55,28.99,8.07,25.38,18.09,17.18,1.5,1.6,1.5,1.5
FALSE,2025-06-22,Short,AUDJPY,0:01:00,0:25:00,24,0,0,68.18%,55.38%,54.44%,59.34%,,,,,,,,,55.5,48.7,21.3,41.8,76.64,11.84,7.58,25.87,7.72,15.51,14.39,12.54,0.5,0.5,0.5,0.5
FALSE,2025-06-22,Short,EURUSD,0:01:00,0:17:00,16,0,0,68.18%,58.46%,50.97%,59.20%,,,,,,,,,28.7,95.8,121.3,81.9,76.47,18.58,8.92,20.3,6.47,8.98,7.90,7.78,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:01:00,0:24:00,23,0,0,63.64%,60.00%,53.28%,58.97%,,,,,,,,,17.9,112.1,172.1,100.7,76.18,15.69,6.14,20.08,7.95,12.00,9.80,9.92,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:01:00,0:18:00,17,0,0,68.18%,58.46%,50.19%,58.95%,,,,,,,,,32.8,116.8,128.3,92.6,76.14,20.23,9.8,23.68,7.29,9.27,8.06,8.21,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,AUDJPY,0:01:00,0:29:00,28,0,0,68.18%,55.38%,53.28%,58.95%,,,,,,,,,80.4,190.6,250.7,173.9,76.14,26.76,14.73,58.62,8.03,17.32,15.35,13.57,0.5,0.5,0.5,0.5
FALSE,2025-06-22,Short,EURJPY,0:02:00,0:23:00,21,0,0,81.82%,64.62%,49.42%,65.28%,,,,,,,,,84.3,45.0,28.8,52.7,84.33,14.91,6.73,20.08,8.77,14.93,16.37,13.36,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:02:00,0:22:00,20,0,0,77.27%,63.08%,50.58%,63.64%,,,,,,,,,73.1,45.3,96.7,71.7,82.21,14.63,6.69,19.01,9.15,13.88,15.94,12.99,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:02:00,0:24:00,22,0,0,77.27%,60.00%,47.88%,61.72%,,,,,,,,,91.9,36.9,1.3,43.4,79.72,14.25,6.57,20.54,9.23,15.55,16.91,13.90,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:02:00,0:28:00,26,0,0,72.73%,58.46%,52.90%,61.36%,,,,,,,,,92.7,64.8,-22.9,44.9,79.26,14.26,6.03,22.28,9.95,16.39,19.21,15.18,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,AUDUSD,0:02:00,0:32:00,30,0,0,63.64%,64.62%,53.67%,60.64%,,,,,,,,,13.3,180.2,146.5,113.3,78.33,20.58,10.54,44.97,5.42,11.43,8.89,8.58,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,AUDUSD,0:02:00,0:24:00,22,0,0,68.18%,63.08%,49.03%,60.10%,,,,,,,,,3.1,118.9,83.0,68.3,77.63,16.09,8.26,25.85,4.23,7.87,7.11,6.40,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,AUDJPY,0:02:00,0:10:00,8,0,0,68.18%,60.00%,50.97%,59.72%,,,,,,,,,12.0,44.2,-24.0,10.7,77.13,6.93,7.68,8.73,4.05,7.46,8.65,6.72,0.5,0.5,0.5,0.5
FALSE,2025-06-22,Short,EURJPY,0:02:00,0:21:00,19,0,0,68.18%,60.00%,50.58%,59.59%,,,,,,,,,74.6,46.9,161.7,94.4,76.97,17.69,7.61,20.57,8.33,13.28,15.42,12.35,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:02:00,0:10:00,8,0,0,72.73%,56.92%,48.65%,59.43%,,,,,,,,,27.1,59.6,-1.9,28.3,76.77,10.26,8.22,9.34,5.78,9.83,10.97,8.86,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:02:00,0:25:00,23,0,0,72.73%,56.92%,48.65%,59.43%,,,,,,,,,79.9,24.0,-77.5,8.8,76.77,9.98,4.89,15.99,9.68,15.47,18.37,14.51,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:02:00,0:10:00,8,0,0,63.64%,64.62%,49.42%,59.22%,,71,84,,,,,,23.7,78.4,77.6,59.9,76.5,19.28,14.33,16.29,5.52,6.01,6.13,5.89,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,AUDJPY,0:02:00,0:26:00,24,0,0,68.18%,56.92%,52.51%,59.20%,,,,,,,,,57.1,132.6,125.9,105.2,76.47,18.21,11.81,40.28,7.69,17.62,14.89,13.40,0.5,0.5,0.5,0.5
FALSE,2025-06-22,Short,EURUSD,0:02:00,0:16:00,14,0,0,68.18%,58.46%,50.97%,59.20%,,,,,,,,,24.0,77.8,24.5,42.1,76.47,12.4,7.42,14.77,6.66,7.99,7.19,7.28,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:02:00,0:23:00,21,0,0,63.64%,61.54%,52.12%,59.10%,,,,,,,,,18.6,140.5,113.0,90.7,76.34,16.69,7.24,21.6,7.87,10.75,8.98,9.20,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:02:00,0:27:00,25,0,0,63.64%,61.54%,52.12%,59.10%,,,,,,,,,4.4,104.7,41.1,50.1,76.34,7.86,3.44,12.24,8.23,12.44,10.58,10.42,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,AUDJPY,0:02:00,0:30:00,28,0,0,68.18%,55.38%,53.67%,59.08%,,,,,,,,,68.1,276.7,304.8,216.5,76.31,27.51,16.82,66.97,8.15,20.49,16.35,15.00,0.5,0.5,0.5,0.5
FALSE,2025-06-22,Short,AUDJPY,0:02:00,0:25:00,23,0,0,68.18%,56.92%,52.12%,59.08%,,,,,,,,,50.4,86.6,20.4,52.5,76.31,12.95,8.89,29.07,7.52,16.57,14.65,12.91,0.5,0.5,0.5,0.5
FALSE,2025-06-22,Short,EURJPY,0:02:00,0:20:00,18,0,0,68.18%,58.46%,50.19%,58.95%,,,,,,,,,68.0,64.1,195.7,109.3,76.14,20.17,8.23,21.07,7.24,13.24,15.09,11.86,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:03:00,0:27:00,24,0,0,63.64%,64.62%,52.51%,60.25%,,,,,,,,,1.7,118.5,30.3,50.2,77.83,8.12,3.68,12.56,7.67,12.12,10.24,10.01,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:03:00,0:18:00,15,0,0,63.64%,64.62%,51.35%,59.87%,,,,,,,,,30.7,155.3,68.4,84.8,77.33,21.97,11.87,25.31,7.33,8.20,7.27,7.60,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURJPY,0:03:00,0:21:00,18,0,0,68.18%,60.00%,51.35%,59.84%,,,,,,,,,59.7,54.6,79.1,64.5,77.3,14.17,6.56,16.79,8.34,12.68,14.65,11.89,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,AUDUSD,0:03:00,0:33:00,30,0,0,63.64%,61.54%,54.05%,59.74%,,,,,,,,,7.3,186.6,125.6,106.5,77.17,18.31,10,42.64,4.86,12.23,8.82,8.64,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:03:00,0:17:00,14,0,0,68.18%,60.00%,50.58%,59.59%,,,,,,,,,51.0,114.9,0.7,55.5,76.97,14.68,9.02,17.96,8.19,12.55,13.57,11.44,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:03:00,0:24:00,21,0,0,63.64%,61.54%,52.51%,59.23%,,,,,,,,,15.8,150.6,112.2,92.9,76.5,16.16,7.28,21.72,7.73,11.39,9.32,9.48,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURJPY,0:03:00,0:23:00,20,0,0,68.18%,60.00%,49.03%,59.07%,,,,,,,,,69.4,52.7,-53.8,22.8,76.3,11.3,5.73,16.3,8.83,14.30,15.43,12.85,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:04:00,0:21:00,17,0,0,68.18%,63.08%,52.12%,61.13%,,,,,,,,,48.6,58.5,72.5,59.9,78.96,13.17,6.11,14.76,7.96,12.16,13.80,11.31,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,AUDUSD,0:04:00,0:34:00,30,0,0,68.18%,61.54%,53.67%,61.13%,,,,,,,,,13.9,179.0,89.6,94.2,78.96,18.51,10.11,43.12,5.05,11.77,8.64,8.49,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:04:00,0:24:00,20,0,0,68.18%,63.08%,49.42%,60.23%,,,,,,,,,65.9,48.5,-87.9,8.8,77.79,9.61,5.18,14.74,8.96,14.31,15.28,12.85,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:04:00,0:27:00,23,0,0,63.64%,61.54%,53.67%,59.61%,,,,,,,,,-7.8,87.1,-20.4,19.6,77,2.94,1.71,5.59,7.13,11.81,9.92,9.62,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURJPY,0:04:00,0:20:00,16,0,0,63.64%,63.08%,50.19%,58.97%,,,,,,,,,42.0,75.7,106.5,74.7,76.17,15.01,6.71,15.27,7.01,12.23,13.75,11.00,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:05:00,0:21:00,16,0,0,68.18%,66.15%,54.05%,62.80%,,,,,,,,,30.8,145.9,93.6,90.1,81.11,23.11,11.01,25.04,6.10,8.43,7.32,7.28,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:05:00,0:19:00,14,0,0,68.18%,66.15%,51.74%,62.02%,,,,,,,,,26.5,121.8,53.1,67.1,80.12,19.97,10.32,20.55,6.18,7.33,6.56,6.69,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:05:00,0:20:00,15,0,0,68.18%,64.62%,52.12%,61.64%,,,,30,,,,,37.4,150.2,97.2,94.9,79.62,25.93,12.89,27.49,6.41,7.81,6.97,7.07,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,AUDUSD,0:05:00,0:34:00,29,0,0,68.18%,60.00%,52.90%,60.36%,,,,,,,,,20.5,178.5,94.0,97.7,77.97,20.84,11.28,46.51,5.13,11.30,8.41,8.28,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:06:00,0:21:00,15,0,0,68.18%,66.15%,52.90%,62.41%,,,,,,,,,23.1,134.9,68.9,75.6,80.62,19.79,9.98,21.29,6.80,8.01,7.03,7.28,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURJPY,0:06:00,0:18:00,12,0,0,68.18%,63.08%,50.19%,60.48%,,,,,,,,,51.8,56.9,82.8,63.8,78.13,16.15,9.15,15.61,7.30,9.49,11.62,9.47,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:06:00,0:20:00,14,0,0,63.64%,63.08%,50.97%,59.23%,,,,,,,,,29.7,139.2,72.5,80.5,76.5,22.97,11.93,23.74,6.84,7.34,6.64,6.94,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURJPY,0:06:00,0:20:00,14,0,0,63.64%,61.54%,52.12%,59.10%,,,,,,,,,49.0,59.1,183.0,97.0,76.34,20.4,8.48,16.88,6.11,9.57,12.06,9.25,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:07:00,0:18:00,11,0,0,68.18%,66.15%,51.35%,61.90%,,,,,,,,,25.0,111.4,18.3,51.6,79.95,17.92,11.72,18.33,6.35,6.66,6.06,6.36,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:07:00,0:21:00,14,0,0,63.64%,66.15%,49.81%,59.87%,,,,,,,,,27.3,136.3,77.2,80.3,77.33,21.24,11.47,22.83,6.87,7.93,6.97,7.26,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURJPY,0:07:00,0:37:00,30,0,0,72.73%,58.46%,48.26%,59.82%,,,,,,,,,71.0,74.1,-143.5,0.5,77.27,9.03,3.86,16.46,11.34,13.75,19.09,14.73,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:07:00,0:36:00,29,0,0,72.73%,58.46%,47.88%,59.69%,,,,,,,,,71.1,85.7,-143.7,4.4,77.1,9.57,4.2,17.3,11.39,13.62,18.32,14.45,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:07:00,0:24:00,17,0,0,72.73%,56.92%,48.26%,59.30%,,,,,,,,,81.4,32.6,7.7,40.6,76.6,13.9,7.56,18.28,8.72,11.89,13.64,11.41,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:08:00,0:11:00,3,0,0,81.82%,56.92%,45.17%,61.31%,75,,,,,,,,18.2,23.9,-70.4,-9.4,79.19,4.66,13.22,5.64,2.85,3.49,3.20,3.18,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,AUDUSD,0:08:00,0:36:00,28,0,0,68.18%,63.08%,49.81%,60.36%,,,,,,,,,12.0,135.8,13.6,53.8,77.96,15.4,7.81,31.09,4.83,8.80,7.42,7.02,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:08:00,0:19:00,11,0,0,68.18%,60.00%,50.58%,59.59%,,,,,,,,,61.1,29.7,78.7,56.5,76.97,18.07,9.79,15.31,5.76,10.36,10.92,9.01,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:08:00,0:18:00,10,0,0,68.18%,61.54%,49.03%,59.59%,,,,,,,,,68.4,33.7,80.3,60.8,76.97,18.94,12.01,17.08,6.15,10.85,10.92,9.30,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:09:00,0:18:00,9,0,0,68.18%,63.08%,52.90%,61.38%,,,,,,,,,46.9,30.7,56.2,44.6,79.29,14.34,9.62,12.3,5.95,9.58,10.23,8.58,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:09:00,0:17:00,8,0,0,68.18%,63.08%,50.97%,60.74%,,,,,,,,,42.0,76.0,44.0,54.0,78.46,17.3,12.51,14.23,5.69,8.86,10.00,8.18,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:10:00,0:17:00,7,0,0,68.18%,63.08%,51.35%,60.87%,,,,,,,,,30.0,19.6,-20.4,9.7,78.63,8.75,7.01,6.97,4.86,8.89,9.55,7.77,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,AUDJPY,0:10:00,0:29:00,19,0,0,77.27%,55.38%,49.81%,60.82%,,,,,,,,,52.3,150.4,142.9,115.2,78.56,20.81,15.36,41.49,7.17,15.76,12.77,11.90,0.5,0.5,0.5,0.5
FALSE,2025-06-22,Long,AUDUSD,0:10:00,0:13:00,3,0,0,63.64%,63.08%,53.28%,60.00%,,,,,,,,,-2.0,27.3,-12.5,4.3,77.5,3.05,7.56,3.22,1.67,3.17,2.63,2.49,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:10:00,0:18:00,8,0,0,68.18%,60.00%,51.35%,59.84%,,,,,,,,,34.9,-25.7,-8.2,0.3,77.3,6.16,4.44,5.05,5.33,10.09,9.91,8.44,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:10:00,0:35:00,25,0,0,63.64%,60.00%,54.83%,59.49%,,,,,,,,,-21.4,15.8,-43.2,-16.3,76.84,-3.8,-1.62,-5.77,9.13,13.45,10.28,10.95,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Long,GBPAUD,0:11:00,0:41:00,30,0,0,68.18%,69.23%,52.90%,63.44%,,,,,,,,,56.8,497.5,297.1,283.8,81.94,25.99,9.06,38.62,10.16,27.54,18.32,18.67,1.5,1.6,1.5,1.5
FALSE,2025-06-22,Short,AUDUSD,0:11:00,0:34:00,23,0,0,68.18%,63.08%,54.44%,61.90%,,,,,,,,,21.2,172.2,95.6,96.3,79.96,22.45,13.96,45.64,5.62,9.88,7.33,7.61,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:11:00,0:17:00,6,0,0,68.18%,64.62%,52.12%,61.64%,,,,,,,,,26.1,94.7,65.8,62.2,79.62,18.88,14.96,12.76,4.40,8.21,8.55,7.05,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:11:00,0:18:00,7,0,0,63.64%,60.00%,55.21%,59.62%,,,,,,,,,31.0,49.4,78.0,52.8,77.01,16.05,10.88,10.83,4.58,8.65,8.79,7.34,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,AUDJPY,0:11:00,0:29:00,18,0,0,72.73%,55.38%,50.58%,59.56%,,,,,,,,,57.8,244.3,242.7,181.6,76.94,28.43,22.53,57.65,7.13,16.58,12.69,12.13,0.5,0.5,0.5,0.5
FALSE,2025-06-22,Short,AUDUSD,0:11:00,0:36:00,25,0,0,63.64%,63.08%,51.35%,59.35%,,,,,,,,,10.0,160.6,44.9,71.8,76.67,17.84,10.06,35.76,5.36,9.09,7.23,7.23,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:12:00,0:17:00,5,0,0,72.73%,69.23%,55.60%,65.85%,25,28,45,,,,,,32.6,138.1,180.4,117.0,85.06,32.66,26.66,18.95,4.02,7.40,7.73,6.38,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Long,GBPAUD,0:12:00,0:41:00,29,0,0,68.18%,67.69%,52.51%,62.79%,,,,,,,,,58.2,494.4,304.6,285.7,81.11,25.03,9.4,38.76,10.94,28.80,18.68,19.47,1.5,1.6,1.5,1.5
FALSE,2025-06-22,Short,EURJPY,0:12:00,0:16:00,4,0,0,68.18%,61.54%,53.67%,61.13%,,,,,,,,,8.8,99.5,108.4,72.2,78.96,19.19,18.33,10.42,3.46,7.15,7.10,5.90,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURJPY,0:12:00,0:18:00,6,0,0,68.18%,60.00%,54.83%,61.00%,,,,,,,,,37.5,92.8,192.6,107.6,78.8,30.47,19.95,17.02,3.81,7.51,7.98,6.43,0.4,0.5,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:12:00,0:18:00,6,0,0,68.18%,61.54%,50.97%,60.23%,,,,,,,,,12.2,93.3,30.4,45.3,77.8,17.4,15.51,13.23,5.24,5.52,4.53,5.10,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,AUDUSD,0:12:00,0:42:00,30,0,0,63.64%,61.54%,54.05%,59.74%,,,,,,,,,0.2,170.7,112.6,94.5,77.17,17.22,8.37,35.71,5.74,10.53,8.12,8.13,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,AUDUSD,0:12:00,0:35:00,23,0,0,63.64%,60.00%,54.44%,59.36%,,,,,,,,,17.8,174.3,123.6,105.2,76.67,23.7,13.89,45.42,5.60,9.60,7.17,7.46,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Long,GBPAUD,0:12:00,0:36:00,24,0,0,68.18%,60.00%,49.81%,59.33%,,,,,,,,,38.1,401.1,197.1,212.1,76.64,19.49,8.59,29.31,11.86,25.85,16.46,18.06,1.5,1.6,1.5,1.5
FALSE,2025-06-22,Short,AUDUSD,0:12:00,0:34:00,22,0,0,68.18%,56.92%,52.51%,59.20%,,,,,,,,,22.1,180.4,123.3,108.6,76.47,24.41,15.58,48.71,5.77,9.99,7.21,7.66,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,AUDUSD,0:12:00,0:22:00,10,0,0,63.64%,61.54%,52.12%,59.10%,,,,,,,,,2.5,91.1,51.9,48.5,76.34,19.09,13.8,19.62,3.80,5.03,4.08,4.30,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,EURUSD,0:12:00,0:40:00,28,0,0,59.09%,63.08%,54.83%,59.00%,,,,,,,,,-30.1,83.1,30.8,27.9,76.21,1.39,0.09,0.36,10.09,14.39,10.83,11.77,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Short,EURUSD,0:13:00,0:34:00,21,0,0,63.64%,63.08%,55.60%,60.77%,,,,,,,,,-16.9,49.7,-7.4,8.5,78.5,0.29,-0.05,-0.15,9.32,12.12,9.19,10.21,0.3,0.3,0.3,0.3
FALSE,2025-06-22,Long,GBPAUD,0:13:00,0:36:00,23,0,0,68.18%,61.54%,50.58%,60.10%,,,,,,,,,30.2,384.6,136.2,183.7,77.63,17.36,8.07,26.39,11.39,25.08,15.87,17.45,1.5,1.6,1.5,1.5
FALSE,2025-06-22,Short,EURJPY,0:13:00,0:17:00,4,0,0,63.64%,61.54%,52.90%,59.36%,,,,,,,,,22.9,119.1,120.5,87.5,76.67,27.17,25.95,14.76,3.72,6.84,6.89,5.82,0.4,0.4,0.4,0.4
FALSE,2025-06-22,Short,AUDJPY,0:13:00,0:29:00,16,0,0,68.18%,56.92%,52.51%,59.20%,,,,,,,,,59.2,242.1,270.4,190.6,76.47,29.02,25.78,58.65,7.20,17.06,12.50,12.25,0.5,0.5,0.5,0.5
