2025-06-22


,月曜日(2025/06/23)
,利益効率,,,,,,,勝率重視,,,,,,,時間効率,,,,,,,最大利益,,,,,,
,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果
1,USDJPY,4:59:00,5:02:00,Long,6,2.63,,EURJPY,10:48:00,10:58:00,Short,8,1.66,,USDJPY,9:04:00,9:08:00,Short,5,3.62,,AUDJPY,8:01:00,8:16:00,Long,14,2.10,
2,USDJPY,8:51:00,8:58:00,Long,12,2.17,,USDJPY,14:51:00,14:56:00,Short,1,9.16,,USDJPY,9:47:00,9:50:00,Long,17,2.94,,USDJPY,8:59:00,9:08:00,Short,8,3.21,
3,EURJPY,11:42:00,11:48:00,Long,13,2.48,,USDJPY,17:01:00,17:09:00,Short,16,2.11,,USDJPY,14:55:00,14:58:00,Short,1,1.81,,USDJPY,10:10:00,10:23:00,Short,7,1.97,
4,USDJPY,14:52:00,14:56:00,Short,1,2.12,,USDJPY,18:51:00,19:00:00,Long,4,3.20,,USDJPY,18:55:00,18:58:00,Long,8,1.79,,USDJPY,14:43:00,14:58:00,Short,1,1.49,
5,USDJPY,16:55:00,16:58:00,Long,3,2.31,,USDJPY,19:01:00,19:05:00,Short,9,1.47,,USDJPY,21:30:00,21:34:00,Short,2,2.13,,AUDJPY,23:51:00,0:02:00,Long,5,2.01,
6,CHFJPY,17:19:00,17:28:00,Long,20,1.41,,USDJPY,20:35:00,20:47:00,Long,20,1.63,,USDJPY,21:45:00,21:50:00,Long,6,1.83,,,,,,,,
7,USDJPY,17:55:00,18:00:00,Long,5,1.47,,,,,,,,,,,,,,,,,,,,,,
8,USDJPY,19:01:00,19:06:00,Short,9,1.80,,,,,,,,,,,,,,,,,,,,,,
9,USDJPY,21:45:00,21:56:00,Long,10,3.24,,,,,,,,,,,,,,,,,,,,,,
10,EURJPY,23:54:00,0:01:00,Long,11,1.46,,,,,,,,,,,,,,,,,,,,,,

,木曜日(2025/06/26)
,利益効率,,,,,,,勝率重視,,,,,,,時間効率,,,,,,,最大利益,,,,,,
,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果
1,USDJPY,4:59:00,5:02:00,Long,6,1.59,,USDJPY,9:21:00,9:25:00,Short,11,1.43,,USDJPY,4:59:00,5:02:00,Long,10,1.41,,USDJPY,14:43:00,14:58:00,Short,1,1.80,
2,USDJPY,8:27:00,8:32:00,Short,19,2.26,,CHFJPY,11:42:00,11:48:00,Long,19,1.71,,USDJPY,9:47:00,9:50:00,Long,17,1.78,,USDJPY,14:59:00,15:09:00,Long,12,2.01,
3,USDJPY,9:21:00,9:25:00,Short,15,1.65,,USDJPY,14:51:00,14:56:00,Short,1,2.52,,USDJPY,14:59:00,15:02:00,Long,14,1.38,,USDJPY,21:43:00,21:58:00,Long,4,1.80,
4,EURJPY,10:50:00,10:58:00,Short,7,3.45,,USDJPY,16:55:00,17:00:00,Long,3,2.28,,USDJPY,16:55:00,16:58:00,Long,3,1.65,,AUDJPY,23:51:00,0:02:00,Long,5,3.52,
5,EURJPY,11:42:00,11:48:00,Long,13,3.30,,USDJPY,17:01:00,17:09:00,Short,16,1.52,,USDJPY,18:55:00,18:58:00,Long,8,1.40,,,,,,,,
6,USDJPY,14:52:00,14:56:00,Short,1,1.70,,USDJPY,17:55:00,18:00:00,Long,2,1.33,,USDJPY,23:18:00,23:21:00,Long,16,1.41,,,,,,,,
7,CHFJPY,17:19:00,17:28:00,Long,20,3.49,,USDJPY,19:01:00,19:05:00,Short,9,1.77,,AUDJPY,23:52:00,23:56:00,Long,11,1.63,,,,,,,,
8,USDJPY,19:01:00,19:06:00,Short,9,1.76,,USDJPY,21:43:00,21:56:00,Long,12,3.56,,AUDJPY,0:25:00,0:30:00,Short,20,2.05,,,,,,,,
9,USDJPY,21:45:00,21:56:00,Long,10,2.37,,,,,,,,,,,,,,,,,,,,,,

,金曜日(2025/06/27)
,利益効率,,,,,,,勝率重視,,,,,,,時間効率,,,,,,,最大利益,,,,,,
,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果,通貨ペア,エントリー,クローズ,方向,順位,PF,結果
1,USDJPY,8:51:00,8:58:00,Long,12,1.87,,EURJPY,10:48:00,10:58:00,Short,8,2.62,,USDJPY,9:04:00,9:08:00,Short,5,1.30,,USDJPY,8:59:00,9:08:00,Short,8,3.54,
2,USDJPY,9:21:00,9:25:00,Short,15,6.86,,CHFJPY,11:42:00,11:48:00,Long,19,1.78,,USDJPY,14:55:00,14:58:00,Short,1,1.65,,USDJPY,10:10:00,10:23:00,Short,7,2.60,
3,EURJPY,10:50:00,10:58:00,Short,7,2.03,,USDJPY,14:51:00,14:56:00,Short,1,8.91,,USDJPY,16:55:00,16:58:00,Long,3,1.47,,USDJPY,14:43:00,14:58:00,Short,1,1.46,
4,USDJPY,11:58:00,12:07:00,Short,8,1.38,,USDJPY,16:55:00,17:00:00,Long,3,2.12,,USDJPY,23:18:00,23:21:00,Long,16,2.72,,USDJPY,14:59:00,15:09:00,Long,12,2.22,
5,USDJPY,14:52:00,14:56:00,Short,1,4.13,,USDJPY,17:55:00,18:00:00,Long,2,1.63,,AUDJPY,0:25:00,0:30:00,Short,20,1.37,,USDJPY,19:01:00,19:15:00,Short,16,1.38,
6,USDJPY,16:55:00,16:58:00,Long,3,10.89,,USDJPY,18:51:00,19:00:00,Long,4,1.58,,,,,,,,,AUDJPY,23:51:00,0:02:00,Long,5,1.44,
7,USDJPY,18:53:00,18:58:00,Long,2,1.40,,USDJPY,19:01:00,19:05:00,Short,9,2.33,,,,,,,,,,,,,,,
8,USDJPY,21:45:00,21:56:00,Long,10,4.70,,USDJPY,21:43:00,21:56:00,Long,12,1.45,,,,,,,,,,,,,,,
9,EURJPY,23:54:00,0:01:00,Long,11,1.99,,EURJPY,22:48:00,22:58:00,Long,17,2.14,,,,,,,,,,,,,,,
10,,,,,,,,EURJPY,23:55:00,0:01:00,Long,6,1.62,,,,,,,,,,,,,,,
